content,start,end
The government of Wuhan announce people must wear mask at public,22/01/2020,NA
WuHan Lockdown,23/01/2020,NA
Emergency Medical Teams were deployed to Wuhan city,24/01/2020,NA
"Motor vehicles, including private cars, are banned in downtown areas of Wuhan to further reduce population mobility and prevent spread of coronavirus ",26/01/2020,NA
Coronavirus cases exceed Sars cases ,28/01/2020,NA
Eight transport aircraft of PLA Air Force send medics to Wuhan,2/02/2020,NA
"China completes coronavirus hospital in Wuhan in 10 days, with a second hospital almost finished",2/02/2020,NA
Wuhan creates more makeshift hospitals,2/05/2020,NA
Second hospital completed,2/08/2020,NA
"China disinfects entire cities to fight coronavirus outbreak, some twice a day",2/09/2020,NA
"Nearly 6,000 medical staff join frontline in Hubei",2/09/2020,NA
 WHO assigns the novel coronavirus its official name: COVID-19.,2/11/2020,NA
Adopted QR code system to contain coronavirus (Alipay health code),2/11/2020,NA
Recovered cases exceed new infections for the first time,18/02/2020,NA
"More than 30,000 medical staff across China go to Wuhan to amid the coronavirus outbreak",19/02/2020,NA
WHO mission to China evidence of human-to-human transmission in Wuhan,22/01/2020,NA
WHO raises the global risk of spread of COVID-19 from “high” to “very high.”,28/02/2020,NA
Nearly nine times more new cases reported outside China than within China,2/03/2020,NA
China lifts lockdown on Wuhan city,4/08/2020,NA
